,Date,Control Point,Arrival / Departure,Hong Kong Residents,Mainland Visitors,Other Visitors,Total,Unnamed: 7
0,01-01-2021,Airport,Arrival,341,0,9,350,
1,01-01-2021,Airport,Departure,803,17,28,848,
2,01-01-2021,Express Rail Link West Kowloon,Arrival,0,0,0,0,
3,01-01-2021,Express Rail Link West Kowloon,Departure,0,0,0,0,
4,01-01-2021,Hung Hom,Arrival,0,0,0,0,
5,01-01-2021,Hung Hom,Departure,0,0,0,0,
6,01-01-2021,Lo Wu,Arrival,0,0,0,0,
7,01-01-2021,Lo Wu,Departure,0,0,0,0,
8,01-01-2021,Lok Ma Chau Spur Line,Arrival,0,0,0,0,
9,01-01-2021,Lok Ma Chau Spur Line,Departure,0,0,0,0,
10,01-01-2021,Heung Yuen Wai,Arrival,0,0,0,0,
11,01-01-2021,Heung Yuen Wai,Departure,0,0,0,0,
12,01-01-2021,Hong Kong-Zhuhai-Macao Bridge,Arrival,45,2,0,47,
13,01-01-2021,Hong Kong-Zhuhai-Macao Bridge,Departure,210,7,0,217,
14,01-01-2021,Lok Ma Chau,Arrival,0,0,0,0,
15,01-01-2021,Lok Ma Chau,Departure,0,0,0,0,
16,01-01-2021,Man Kam To,Arrival,0,0,0,0,
17,01-01-2021,Man Kam To,Departure,0,0,0,0,
18,01-01-2021,Sha Tau Kok,Arrival,0,0,0,0,
19,01-01-2021,Sha Tau Kok,Departure,0,0,0,0,
20,01-01-2021,Shenzhen Bay,Arrival,346,43,1,390,
21,01-01-2021,Shenzhen Bay,Departure,2433,221,4,2658,
22,01-01-2021,China Ferry Terminal,Arrival,0,0,0,0,
23,01-01-2021,China Ferry Terminal,Departure,0,0,0,0,
24,01-01-2021,Harbour Control,Arrival,0,0,0,0,
25,01-01-2021,Harbour Control,Departure,0,0,0,0,
26,01-01-2021,Kai Tak Cruise Terminal,Arrival,0,0,0,0,
27,01-01-2021,Kai Tak Cruise Terminal,Departure,0,0,0,0,
28,01-01-2021,Macau Ferry Terminal,Arrival,0,0,0,0,
29,01-01-2021,Macau Ferry Terminal,Departure,0,0,0,0,
30,01-01-2021,Tuen Mun Ferry Terminal,Arrival,0,0,0,0,
31,01-01-2021,Tuen Mun Ferry Terminal,Departure,0,0,0,0,
32,02-01-2021,Airport,Arrival,363,10,10,383,
33,02-01-2021,Airport,Departure,940,22,33,995,
34,02-01-2021,Express Rail Link West Kowloon,Arrival,0,0,0,0,
35,02-01-2021,Express Rail Link West Kowloon,Departure,0,0,0,0,
36,02-01-2021,Hung Hom,Arrival,0,0,0,0,
37,02-01-2021,Hung Hom,Departure,0,0,0,0,
38,02-01-2021,Lo Wu,Arrival,0,0,0,0,
39,02-01-2021,Lo Wu,Departure,0,0,0,0,
40,02-01-2021,Lok Ma Chau Spur Line,Arrival,0,0,0,0,
